Nome Tipo Bloco 
LIP-04 LIP A
B01 Aula B
B02 Aula B
B03 Aula B
B04 Aula B
B05 Aula B
B06 Aula B
B07 Aula B
B08 Aula B
B09 Aula B
LIP-01 LIP F
LIP-02 LIP F
LIP-07 LIP G
LIP-03 LIP H
LIP-05 LIP J
LIP-06 LIP J
K03 Aula K
K04 Aula K
K05 Aula K
K06 Aula K
K07 Aula K
K08 Aula K
K09 Aula K
K10 Aula K
K11 Aula K
K12 Aula K
K13 Aula K
K14 Aula K
IO3 Aula I
I04 Aula I
I05 Aula I
I06 Aula I
I07 Aula I
I08 Aula I
I09 Aula I
I10 Aula I
I11 Aula I
I12 Aula I
I13 Aula I
I14 Aula I
I15 Aula I
